Distrito,Tmin_Media_C
CAPAZO,-5.19
SUSAPAYA,-5.16
TARATA,-5.0
TICACO,-4.42
SAN ANTONIO DE CHUCA,-4.39
CANDARAVE,-4.36
CONDOROMA,-4.12
PARATIA,-4.09
CARUMAS,-3.41
SAN JUAN DE TARUCANI,-3.34
TUTI,-3.26
PISACOMA,-3.25
AJOYANI,-3.14
CALLALLI,-3.0
CORANI,-2.96
ANANEA,-2.88
OCUVIRI,-2.81
PITUMARCA,-2.8
CAYLLOMA,-2.66
MACUSANI,-2.61
COJATA,-2.57
PICHACANI,-2.57
YANQUE,-2.55
VILAVILA,-2.53
CRUCERO,-2.46
CONDURIRI,-2.45
SIBAYO,-2.41
CHECACUPE,-2.4
TISCO,-2.37
CAMILACA,-2.24
NUNOA,-2.15
ANTAUTA,-2.14
CHOJATA,-2.08
POTONI,-2.0
LARI,-1.96
HUACULLANI,-1.92
OCORURO,-1.53
CABANILLAS,-1.51
PUTINA,-1.5
UBINAS,-1.43
TAPAY,-1.42
CHACHAS,-1.41
PALLPATA,-1.37
LLOQUE,-1.36
KELLUYO,-1.34
MACA,-1.24
UMACHIRI,-1.24
ALTO PICHIGUA,-1.15
HUAYRAPATA,-1.13
CAYARANI,-1.12
ICHUPAMPA,-1.09
CUYOCUYO,-1.08
MUNANI,-1.02
ORCOPAMPA,-1.01
ACORA,-1.0
MACARI,-0.94
ACHOMA,-0.93
QUILCAPUNCU,-0.92
PUYCA,-0.91
LLALLI,-0.85
SAN ANTON,-0.83
CHONGOS ALTO,-0.81
ICHUNA,-0.79
SUYCKUTAMBO,-0.78
PEDRO VILCA APAZA,-0.72
ASCENSION,-0.71
CUPI,-0.64
MADRIGAL,-0.58
ESPINAR,-0.58
SUITUCANCHA,-0.55
SICUANI,-0.54
HUAYNACOTAS,-0.54
TIQUILLACA,-0.53
MANAZO,-0.52
ACOBAMBILLA,-0.47
OCONGATE,-0.46
MARANGANI,-0.4
VIRACO,-0.39
MOROCOCHA,-0.39
COPORAQUE,-0.37
ZEPITA,-0.35
JULI,-0.34
MARCAPOMACOCHA,-0.33
CABANILLA,-0.29
CAIRANI,-0.25
ILAVE,-0.22
TANTA,-0.21
DESAGUADERO,-0.21
CHUPAMARCA,-0.2
USICAYOS,-0.15
CHICCHE,-0.07
CAYMA,-0.07
PICHIGUA,-0.01
KUNTURKANKI,-0.01
INCHUPALLA,-0.01
VITIS,0.01
CHONGOS BAJO,0.01
TOMAS,0.03
LAYO,0.1
VILQUE CHICO,0.11
AURAHUA,0.11
HUANCAYA,0.12
HUAY-HUAY,0.14
SALAMANCA,0.15
HUANTAN,0.15
NUEVO OCCORO,0.16
TIRAPATA,0.2
POMATA,0.21
SANTIAGO DE PUPUJA,0.22
ROSASPATA,0.24
CANCHAYLLO,0.26
JOSE DOMINGO CHOQUEHUANCA,0.27
COALAQUE,0.33
SAN JUAN DE TANTARANCHE,0.34
HUATASANI,0.36
CHICLA,0.39
NICASIO,0.4
AYAVIRI,0.4
SANTIAGO DE ANCHUCAYA,0.44
SANTA BARBARA DE CARHUACAYAN,0.5
LARAOS,0.5
PILPICHACA,0.51
CHOCO,0.51
CASTROVIRREYNA,0.51
COATA,0.53
HUANZA,0.56
HUANCANE,0.61
HUANEC,0.62
PUSI,0.62
CARACOTO,0.62
ARAPA,0.66
MOHO,0.69
CAMINACA,0.72
TARUCACHI,0.73
JULIACA,0.73
ACHAYA,0.73
CONIMA,0.76
ORURILLO,0.77
CHECCA,0.77
ALIS,0.78
LANGUI,0.8
VILCA,0.8
HUAROS,0.85
CCARHUAYO,0.86
PALCA,0.86
HUAROCONDO,0.92
CALAPUJA,0.92
TARACO,0.92
OYOLO,0.93
CHIVAY,0.99
VILQUE,0.99
HUANCAVELICA,1.04
OLLARAYA,1.05
CURPAHUASI,1.06
PUNO,1.09
CARAMPOMA,1.11
HUAYLLAY,1.13
LARIA,1.14
COPANI,1.15
ATUNCOLLA,1.15
PATAMBUCO,1.16
MARCAPATA,1.2
VIRUNDO,1.21
JUNIN,1.24
PLATERIA,1.26
ANTABAMBA,1.26
SANTA ROSA DE SACCO,1.27
ASILLO,1.27
CARANIA,1.3
CHUPA,1.31
JUAN ESPINOZA MEDRANO,1.31
PAUCARCOLLA,1.32
PILCUYO,1.33
CCOCHACCASA,1.34
CHILCAYMARCA,1.37
POMACANCHA,1.41
CAUJUL,1.41
PAMPACOLCA,1.41
HUAROCHIRI,1.42
SAN JUAN DE SALINAS,1.42
VELILLE,1.42
PACARAOS,1.43
HUASICANCHA,1.43
LLUSCO,1.43
PAZOS,1.46
CORONEL CASTANEDA,1.48
HEROINAS TOLEDO,1.48
SAN JOSE DE QUERO,1.49
EL TAMBO,1.49
PARAS,1.51
CAJAMARQUILLA,1.53
QUILCAS,1.54
LIRCAY,1.55
ACRAQUIA,1.56
AHUAYCHA,1.57
YANACANCHA,1.58
YANAOCA,1.58
CHACAPALPA,1.61
SAMAN,1.62
MACHAGUAY,1.64
YUNGA,1.66
HUANCAYO,1.67
TAMBURCO,1.68
SINCOS,1.69
SANTIAGO DE LUCANAMARCA,1.7
SIMON BOLIVAR,1.74
MATALAQUE,1.75
CHACAPAMPA,1.77
SAN PEDRO DE HUACARPANA,1.77
QUEHUE,1.78
ONDORES,1.78
CUSIPATA,1.79
TUPE,1.8
LAMPA,1.81
COTARUSE,1.81
LIVITACA,1.83
MANTA,1.84
