DISTRITO,mean,min,max,std,percentile_10,percentile_90,range_temp
CAPAZO,-5.191071134000211,-7.581089019775391,-3.1280566215515138,1.0769784968734604,-6.462653160095215,-3.7998732566833495,4.453032398223877
SUSAPAYA,-5.157803344726562,-8.860302066802978,2.6024710655212404,3.360376816214611,-8.50607671737671,-0.8938113570213317,11.46277313232422
TARATA,-4.99573587690081,-6.945102024078369,5.276153945922852,2.8655769308259895,-6.65741195678711,-3.716903734207153,12.22125597000122
TICACO,-4.41739467274059,-6.401332950592041,2.0675548791885374,2.739251071857401,-6.33153018951416,0.39492685794830323,8.468887829780579
SAN ANTONIO DE CHUCA,-4.390305680495042,-6.064533233642578,-2.7122233390808104,0.6949163678955641,-5.283103656768799,-3.5510973930358887,3.3523098945617678
CANDARAVE,-4.359306534476902,-8.298265075683593,6.706962299346924,3.6389476374455185,-6.957934093475342,1.3369836211204529,15.005227375030518
CONDOROMA,-4.122946506076389,-5.134395885467529,-1.5799672842025756,0.7897198102992798,-4.7074706077575685,-3.2892457485198974,3.5544286012649535
PARATIA,-4.094574913611779,-4.812941932678223,-2.8039880752563477,0.5308086617305452,-4.719643020629883,-3.3575675010681154,2.008953857421875
CARUMAS,-3.411974711357793,-6.741667938232422,11.945493698120117,4.602472673876359,-6.083051776885986,3.7519601821899413,18.68716163635254
SAN JUAN DE TARUCANI,-3.343182144165039,-5.3028261184692385,-1.109587800502777,0.9423039788954817,-4.669331741333008,-2.1875110864639282,4.193238317966461
TUTI,-3.25811903817313,-4.154576969146729,-2.404949951171875,0.49387154177145076,-3.8142739295959474,-2.7848758697509766,1.7496270179748534
PISACOMA,-3.248724688905658,-5.430039596557617,-0.509984815120697,1.4475254191783749,-4.733944320678711,-1.2435317516326905,4.92005478143692
AJOYANI,-3.141027245154748,-3.920216941833496,-1.7702289819717407,0.6510074124213816,-3.7416414260864257,-2.0644320487976073,2.1499879598617553
CALLALLI,-3.001007843017578,-4.958346557617188,-0.6833753883838654,0.9958904668503814,-4.424046039581299,-1.6800545692443847,4.274971169233322
CORANI,-2.956277419581558,-5.743112277984619,-0.005565003678202629,1.5125049840498437,-4.697815322875977,-1.0000012516975403,5.737547274306417
ANANEA,-2.881736135482788,-4.682203102111816,-1.459652853012085,0.7904563094098063,-3.816080665588379,-1.8577706813812256,3.2225502490997315
OCUVIRI,-2.8128282674153646,-4.3362689971923825,-0.5796157062053681,0.9939014713830833,-3.932226133346558,-1.4519877672195434,3.756653290987015
PITUMARCA,-2.8023908403184676,-6.100513362884522,1.7358617067337037,1.8052656326585783,-4.771626567840576,-0.008437524735927581,7.836375069618225
CAYLLOMA,-2.664481077802942,-4.270264673233032,-1.4418971538543701,0.5955206035415651,-3.4339035511016847,-1.9160594463348388,2.828367519378662
MACUSANI,-2.6082854240171374,-4.070892810821533,-0.38033331632614137,0.9201823359140194,-3.7488229274749756,-1.235604965686798,3.6905594944953917
COJATA,-2.5731464131673176,-3.562229776382446,-1.4800612449645996,0.5091373592169106,-3.2537803173065187,-2.073897671699524,2.082168531417847
PICHACANI,-2.565712335759943,-5.153212070465088,-0.08241060134023429,1.455641943746505,-4.565352439880371,-0.9267210483551025,5.070801469124854
YANQUE,-2.548900624868032,-4.380372047424316,3.297292137145996,1.8115234194028846,-3.9772629261016847,0.8421480655670166,7.677664184570313
VILAVILA,-2.5291197586059573,-3.438950538635254,-1.3706635236740112,0.6999189668677482,-3.2518871307373045,-1.723264217376709,2.0682870149612427
CRUCERO,-2.4626775614420575,-3.1820488452911375,-1.3307408332824706,0.4728024489297226,-3.086060953140259,-1.835841464996338,1.851308012008667
CONDURIRI,-2.447874818024812,-3.8208163738250733,-0.6650326311588287,0.8204468636972931,-3.509105682373047,-1.4319016456604003,3.1557837426662445
SIBAYO,-2.411034358631481,-3.766443204879761,-0.2792609414085746,0.9439154186068655,-3.507911539077759,-1.343850350379944,3.487182263471186
CHECACUPE,-2.3965736915325295,-4.514535427093506,5.029002666473389,2.308970370298642,-4.122344064712524,0.6454665422439575,9.543538093566895
